,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,1000.0,80.64516129032258,212.7659574468085,43.66812227074236,9999.0,9999.0,9999.0,9999.0,9999.0,35.714285714285715,188.67924528301887,61.34969325153375,92.59259259259258,227.27272727272725,9999.0,9999.0,83.33333333333333,135.13513513513513,270.27027027027026,588.2352941176471,9999.0,277.77777777777777,18.69158878504673,714.2857142857143
child_qualities_autonomy_self_expression|WVS_A,1000.0,0.0,9999.0,9999.0,17.094017094017094,69.44444444444444,34.013605442176875,60.975609756097555,204.08163265306123,100.0,12.484394506866415,9999.0,14.749262536873157,13.422818791946309,14.641288433382138,16.077170418006432,204.08163265306123,23.419203747072597,22.22222222222222,12.062726176115802,9999.0,19.193857965451055,9999.0,9999.0,11.074197120708748
child_qualities_conformity_tradition|WVS_A,80.64516129032258,9999.0,0.0,9999.0,10.718113612004288,149.2537313432836,23.64066193853428,30.8641975308642,22.075055187637968,204.08163265306123,17.793594306049823,9999.0,12.5,12.091898428053206,13.679890560875513,15.4320987654321,285.7142857142857,12.376237623762377,12.69035532994924,10.34126163391934,9999.0,17.33102253032929,9999.0,9999.0,12.903225806451614
child_qualities_prosocial_diligence|WVS_A,212.7659574468085,9999.0,9999.0,0.0,74.6268656716418,1000.0,156.25,149.2537313432836,66.2251655629139,909.090909090909,133.33333333333334,9999.0,74.6268656716418,63.291139240506325,81.30081300813008,89.28571428571429,454.5454545454545,74.07407407407408,86.20689655172414,68.02721088435375,9999.0,106.38297872340425,9999.0,9999.0,84.03361344537815
civic_dishonesty_tolerance|WVS_F,43.66812227074236,17.094017094017094,10.718113612004288,74.6268656716418,0.0,67.11409395973155,23.31002331002331,40.16064257028113,357.14285714285717,77.51937984496124,18.867924528301888,27.027027027027028,15.174506828528072,14.903129657228016,9999.0,55.865921787709496,43.47826086956522,9999.0,9999.0,9999.0,13.280212483399733,15.243902439024389,30.959752321981423,1000.0,18.34862385321101
confidence_in_civil_society_organizations|WVS_E,9999.0,69.44444444444444,149.2537313432836,1000.0,67.11409395973155,0.0,9999.0,9999.0,9999.0,9999.0,37.59398496240602,1000.0,250.0,105.26315789473685,121.95121951219511,9999.0,9999.0,1000.0,144.92753623188406,77.51937984496124,50.25125628140703,9999.0,370.3703703703703,84.03361344537815,65.78947368421052
confidence_in_domestic_institutions|WVS_E,9999.0,34.013605442176875,23.64066193853428,156.25,23.31002331002331,9999.0,0.0,9999.0,9999.0,9999.0,42.37288135593221,65.78947368421052,31.446540880503143,28.73563218390805,32.57328990228013,9999.0,9999.0,26.246719160104984,28.248587570621467,25.188916876574307,25.510204081632654,9999.0,84.74576271186442,53.191489361702125,31.545741324921135
confidence_in_international_organizations|WVS_E,9999.0,60.975609756097555,30.8641975308642,149.2537313432836,40.16064257028113,9999.0,9999.0,0.0,9999.0,9999.0,303.03030303030306,68.02721088435375,38.75968992248062,33.67003367003367,44.052863436123346,9999.0,9999.0,29.850746268656714,40.0,34.96503496503497,44.44444444444444,9999.0,90.09009009009009,37.735849056603776,63.69426751592357
democratic_system_evaluation|WVS_E,9999.0,204.08163265306123,22.075055187637968,66.2251655629139,357.14285714285717,9999.0,9999.0,9999.0,0.0,9999.0,34.013605442176875,40.65040650406504,26.38522427440633,17.825311942959004,35.97122302158274,9999.0,9999.0,18.975332068311197,87.71929824561403,29.498525073746315,188.67924528301887,9999.0,55.865921787709496,10.683760683760683,1000.0
economic_ideology|WVS_E,9999.0,100.0,204.08163265306123,909.090909090909,77.51937984496124,9999.0,9999.0,9999.0,9999.0,0.0,40.983606557377044,909.090909090909,625.0,80.0,125.0,9999.0,9999.0,1000.0,175.43859649122805,79.36507936507937,69.93006993006993,9999.0,136.986301369863,88.49557522123894,96.15384615384616
gender_role_traditionalism|WVS_D,35.714285714285715,12.484394506866415,17.793594306049823,133.33333333333334,18.867924528301888,37.59398496240602,42.37288135593221,303.03030303030306,34.013605442176875,40.983606557377044,0.0,158.73015873015873,19.49317738791423,14.619883040935672,14.947683109118087,26.041666666666668,42.918454935622314,58.8235294117647,32.25806451612903,11.560693641618498,8.368200836820083,18.34862385321101,172.41379310344828,30.959752321981423,9.671179883945841
importance_of_life_domains|WVS_A,188.67924528301887,9999.0,9999.0,9999.0,27.027027027027028,1000.0,65.78947368421052,68.02721088435375,40.65040650406504,909.090909090909,158.73015873015873,0.0,42.918454935622314,36.231884057971016,45.04504504504504,64.51612903225806,625.0,28.169014084507044,32.78688524590164,35.714285714285715,9999.0,51.54639175257732,9999.0,9999.0,80.64516129032258
job_scarcity_gender_discrimination|WVS_C,61.34969325153375,14.749262536873157,12.5,74.6268656716418,15.174506828528072,250.0,31.446540880503143,38.75968992248062,26.38522427440633,625.0,19.49317738791423,42.918454935622314,0.0,9999.0,15.082956259426847,15.243902439024389,172.41379310344828,17.825311942959004,18.214936247723134,11.061946902654867,10.2880658436214,19.880715705765407,82.64462809917356,16.611295681063122,9999.0
job_scarcity_nativist_preference|WVS_C,92.59259259259258,13.422818791946309,12.091898428053206,63.291139240506325,14.903129657228016,105.26315789473685,28.73563218390805,33.67003367003367,17.825311942959004,80.0,14.619883040935672,36.231884057971016,9999.0,0.0,13.49527665317139,14.947683109118087,400.0,15.552099533437016,17.006802721088437,10.526315789473685,9.718172983479105,17.18213058419244,43.47826086956522,15.847860538827257,9999.0
life_autonomy_morality_permissiveness|WVS_F,227.27272727272725,14.641288433382138,13.679890560875513,81.30081300813008,9999.0,121.95121951219511,32.57328990228013,44.052863436123346,35.97122302158274,125.0,14.947683109118087,45.04504504504504,15.082956259426847,13.49527665317139,0.0,17.421602787456447,555.5555555555555,9999.0,9999.0,9999.0,10.695187165775401,19.305019305019304,68.4931506849315,20.449897750511248,12.330456226880393
offline_political_participation|WVS_E,9999.0,16.077170418006432,15.4320987654321,89.28571428571429,55.865921787709496,9999.0,9999.0,9999.0,9999.0,9999.0,26.041666666666668,64.51612903225806,15.243902439024389,14.947683109118087,17.421602787456447,0.0,9999.0,22.675736961451246,40.0,14.992503748125937,11.037527593818984,9999.0,1000.0,11.682242990654206,13.477088948787062
postmaterialist_values|WVS_E,9999.0,204.08163265306123,285.7142857142857,454.5454545454545,43.47826086956522,9999.0,9999.0,9999.0,9999.0,9999.0,42.918454935622314,625.0,172.41379310344828,400.0,555.5555555555555,9999.0,0.0,303.03030303030306,78.125,217.3913043478261,121.95121951219511,9999.0,222.22222222222223,27.397260273972606,125.0
religious_belief|WVS_F,83.33333333333333,23.419203747072597,12.376237623762377,74.07407407407408,9999.0,1000.0,26.246719160104984,29.850746268656714,18.975332068311197,1000.0,58.8235294117647,28.169014084507044,17.825311942959004,15.552099533437016,9999.0,22.675736961451246,303.03030303030306,0.0,9999.0,9999.0,19.417475728155342,19.960079840319363,38.61003861003861,30.959752321981423,25.706940874035993
religious_practice_and_self_identification|WVS_F,135.13513513513513,22.22222222222222,12.69035532994924,86.20689655172414,9999.0,144.92753623188406,28.248587570621467,40.0,87.71929824561403,175.43859649122805,32.25806451612903,32.78688524590164,18.214936247723134,17.006802721088437,9999.0,40.0,78.125,9999.0,0.0,9999.0,17.452006980802793,19.76284584980237,33.11258278145695,192.30769230769232,24.213075060532685
sexual_and_reproductive_morality_permissiveness|WVS_F,270.27027027027026,12.062726176115802,10.34126163391934,68.02721088435375,9999.0,77.51937984496124,25.188916876574307,34.96503496503497,29.498525073746315,79.36507936507937,11.560693641618498,35.714285714285715,11.061946902654867,10.526315789473685,9999.0,14.992503748125937,217.3913043478261,9999.0,9999.0,0.0,8.071025020177563,14.925373134328357,46.29629629629629,17.482517482517483,10.615711252653927
social_intolerance_outgroups|WVS_A,588.2352941176471,9999.0,9999.0,9999.0,13.280212483399733,50.25125628140703,25.510204081632654,44.44444444444444,188.67924528301887,69.93006993006993,8.368200836820083,9999.0,10.2880658436214,9.718172983479105,10.695187165775401,11.037527593818984,121.95121951219511,19.417475728155342,17.452006980802793,8.071025020177563,0.0,13.568521031207599,9999.0,9999.0,7.524454477050415
societal_change_attitudes|WVS_E,9999.0,19.193857965451055,17.33102253032929,106.38297872340425,15.243902439024389,9999.0,9999.0,9999.0,9999.0,9999.0,18.34862385321101,51.54639175257732,19.880715705765407,17.18213058419244,19.305019305019304,9999.0,9999.0,19.960079840319363,19.76284584980237,14.925373134328357,13.568521031207599,0.0,65.78947368421052,41.1522633744856,17.123287671232877
subjective_wellbeing|WVS_A,277.77777777777777,9999.0,9999.0,9999.0,30.959752321981423,370.3703703703703,84.74576271186442,90.09009009009009,55.865921787709496,136.986301369863,172.41379310344828,9999.0,82.64462809917356,43.47826086956522,68.4931506849315,1000.0,222.22222222222223,38.61003861003861,33.11258278145695,46.29629629629629,9999.0,65.78947368421052,0.0,9999.0,400.0
voluntary_association_belonging|WVS_A,18.69158878504673,9999.0,9999.0,9999.0,1000.0,84.03361344537815,53.191489361702125,37.735849056603776,10.683760683760683,88.49557522123894,30.959752321981423,9999.0,16.611295681063122,15.847860538827257,20.449897750511248,11.682242990654206,27.397260273972606,30.959752321981423,192.30769230769232,17.482517482517483,9999.0,41.1522633744856,9999.0,0.0,18.41620626151013
work_ethic|WVS_C,714.2857142857143,11.074197120708748,12.903225806451614,84.03361344537815,18.34862385321101,65.78947368421052,31.545741324921135,63.69426751592357,1000.0,96.15384615384616,9.671179883945841,80.64516129032258,9999.0,9999.0,12.330456226880393,13.477088948787062,125.0,25.706940874035993,24.213075060532685,10.615711252653927,7.524454477050415,17.123287671232877,400.0,18.41620626151013,0.0
